,id,commence_time,home_team,away_team,home_score,away_score
0,cdd1a83d7c15ce5c3d79aebd65c8f3f4,2024-04-23T00:40:00Z,Colorado Rockies,San Diego Padres,1,3
1,77141ed74209c93101d7a84f30dbb721,2024-04-23T01:38:00Z,Los Angeles Angels,Baltimore Orioles,2,4
2,df6d58d2d972646454db7798a9eed23a,2024-04-23T01:45:00Z,San Francisco Giants,New York Mets,5,2
3,bc28d151af7bb0869298af800a1f9a51,2024-04-23T22:09:38Z,Cleveland Guardians,Boston Red Sox,4,1
4,480de76bfcfaa1db5719291f116e45d0,2024-04-23T22:39:31Z,Cincinnati Reds,Philadelphia Phillies,8,1
5,4eaed644ac835163f72753073f8ab70e,2024-04-23T22:40:00Z,Pittsburgh Pirates,Milwaukee Brewers,2,1
6,25873031761f7c87c9a734612ee988ac,2024-04-23T22:45:11Z,Washington Nationals,Los Angeles Dodgers,1,4
7,6175272ab9830fdb19e1b23da9797bfc,2024-04-23T22:50:48Z,Tampa Bay Rays,Detroit Tigers,2,4
8,f321366cb3519be3a919e556ad88059f,2024-04-23T23:07:19Z,New York Yankees,Oakland Athletics,4,3
9,5d932c935739a56890ad05cdafada8bc,2024-04-23T23:19:50Z,Atlanta Braves,Miami Marlins,5,0
10,767889554f282fa81403f03cfe058bf2,2024-04-23T23:40:16Z,Chicago Cubs,Houston Astros,7,2
11,ededa8a14c0e7374baf42e294f1945b1,2024-04-23T23:40:54Z,Kansas City Royals,Toronto Blue Jays,3,2
12,8ea7dd1d29b649f2e7e9f96f93561da0,2024-04-23T23:41:05Z,Minnesota Twins,Chicago White Sox,6,5
13,4b3029c477478dd99081bc2ab9737066,2024-04-23T23:44:51Z,St. Louis Cardinals,Arizona Diamondbacks,1,14
14,8814be623a71f3eeb3648aa062f87fa2,2024-04-24T00:05:00Z,Texas Rangers,Seattle Mariners,0,4
15,a15c940b75fa8a25d1c96f7bfae8da81,2024-04-24T00:40:19Z,Colorado Rockies,San Diego Padres,7,4
16,38a02d8367d69188f18189cb8303ce57,2024-04-24T01:38:48Z,Los Angeles Angels,Baltimore Orioles,7,4
17,caf45d14a9f9bec90d709bfe54d60815,2024-04-24T01:46:16Z,San Francisco Giants,New York Mets,5,1
18,d456e882d5efaf20caedf80392f35852,2024-04-24T17:15:00Z,St. Louis Cardinals,Arizona Diamondbacks,5,1
19,2ab9f108c2b67ed41bce283b9cca4bb4,2024-04-24T19:45:00Z,San Francisco Giants,New York Mets,2,8
20,0a53624a6e022449adee3cef5bce6651,2024-04-24T20:07:00Z,Los Angeles Angels,Baltimore Orioles,5,6
