id,commence_time,home_team,away_team,outcome_name,odds,imp_probability,true_probability
0035e0c74ff1cb8ce6d0aa914c749bc2,2024-04-24 23:40:00+00:00,Kansas City Royals,Toronto Blue Jays,Kansas City Royals,-350.0, 0.78%, 0.74%
0035e0c74ff1cb8ce6d0aa914c749bc2,2024-04-24 23:40:00+00:00,Kansas City Royals,Toronto Blue Jays,Toronto Blue Jays,260.0, 0.28%, 0.26%
027b268a3a8c39d655c9dfcce936035e,2024-04-25 17:10:00+00:00,Minnesota Twins,Chicago White Sox,Chicago White Sox,200.0, 0.33%, 0.32%
027b268a3a8c39d655c9dfcce936035e,2024-04-25 17:10:00+00:00,Minnesota Twins,Chicago White Sox,Minnesota Twins,-260.0, 0.72%, 0.68%
186a7db22526f42e61f4e7e04a297aef,2024-04-25 19:10:00+00:00,Colorado Rockies,San Diego Padres,Colorado Rockies,125.0, 0.44%, 0.43%
186a7db22526f42e61f4e7e04a297aef,2024-04-25 19:10:00+00:00,Colorado Rockies,San Diego Padres,San Diego Padres,-150.0, 0.60%, 0.57%
21095ac9d9e6ddac864c35da1c56341c,2024-04-25 00:05:00+00:00,Texas Rangers,Seattle Mariners,Seattle Mariners,-110.0, 0.52%, 0.50%
21095ac9d9e6ddac864c35da1c56341c,2024-04-25 00:05:00+00:00,Texas Rangers,Seattle Mariners,Texas Rangers,-110.0, 0.52%, 0.50%
24dcc7c4957937205f8f8882e58c14ba,2024-04-25 00:40:00+00:00,Colorado Rockies,San Diego Padres,Colorado Rockies,130.0, 0.43%, 0.42%
24dcc7c4957937205f8f8882e58c14ba,2024-04-25 00:40:00+00:00,Colorado Rockies,San Diego Padres,San Diego Padres,-155.0, 0.61%, 0.58%
2fcc76bec0f1f2c98e13550c9c4b62bc,2024-04-25 18:35:00+00:00,Texas Rangers,Seattle Mariners,Seattle Mariners,-120.0, 0.55%, 0.52%
2fcc76bec0f1f2c98e13550c9c4b62bc,2024-04-25 18:35:00+00:00,Texas Rangers,Seattle Mariners,Texas Rangers,100.0, 0.50%, 0.48%
379612f9e00eb8fd2124a36e9e296b96,2024-04-24 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds,180.0, 0.36%, 0.34%
379612f9e00eb8fd2124a36e9e296b96,2024-04-24 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,-240.0, 0.71%, 0.66%
4b693573876d85d4290cebe779bbb6c6,2024-04-24 23:39:44+00:00,Chicago Cubs,Houston Astros,Chicago Cubs,-275.0, 0.73%, 0.69%
4b693573876d85d4290cebe779bbb6c6,2024-04-24 23:39:44+00:00,Chicago Cubs,Houston Astros,Houston Astros,210.0, 0.32%, 0.31%
4eaf33b7ce9ee2d505935e660d5209fa,2024-04-25 17:10:00+00:00,Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds,130.0, 0.43%, 0.42%
4eaf33b7ce9ee2d505935e660d5209fa,2024-04-25 17:10:00+00:00,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,-155.0, 0.61%, 0.58%
68e88cb06b767320ea2d90312208beb8,2024-04-24 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,Milwaukee Brewers,-250.0, 0.71%, 0.67%
68e88cb06b767320ea2d90312208beb8,2024-04-24 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,190.0, 0.34%, 0.33%
