id,commence_time,home_team,away_team,outcome_name,odds,imp_probability,true_probability
2b8730a2d062752e6b2fc0c67138e37d,2024-04-22 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds,-110.0, 0.52%, 0.50%
2b8730a2d062752e6b2fc0c67138e37d,2024-04-22 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,-110.0, 0.52%, 0.50%
2d531c1fa87707b86d27b5efc87e1bdf,2024-04-22 23:40:00+00:00,Minnesota Twins,Chicago White Sox,Chicago White Sox,170.0, 0.37%, 0.35%
2d531c1fa87707b86d27b5efc87e1bdf,2024-04-22 23:40:00+00:00,Minnesota Twins,Chicago White Sox,Minnesota Twins,-220.0, 0.69%, 0.65%
77141ed74209c93101d7a84f30dbb721,2024-04-23 01:38:00+00:00,Los Angeles Angels,Baltimore Orioles,Baltimore Orioles,-110.0, 0.52%, 0.50%
77141ed74209c93101d7a84f30dbb721,2024-04-23 01:38:00+00:00,Los Angeles Angels,Baltimore Orioles,Los Angeles Angels,-110.0, 0.52%, 0.50%
ac089948df92d146990c70eedd0dbaaa,2024-04-22 23:20:00+00:00,Atlanta Braves,Miami Marlins,Atlanta Braves,-210.0, 0.68%, 0.64%
ac089948df92d146990c70eedd0dbaaa,2024-04-22 23:20:00+00:00,Atlanta Braves,Miami Marlins,Miami Marlins,165.0, 0.38%, 0.36%
afb3c8409b38fe4c9e7be0cec5a6cae2,2024-04-22 22:50:00+00:00,Tampa Bay Rays,Detroit Tigers,Detroit Tigers,-120.0, 0.55%, 0.52%
afb3c8409b38fe4c9e7be0cec5a6cae2,2024-04-22 22:50:00+00:00,Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,100.0, 0.50%, 0.48%
cdd1a83d7c15ce5c3d79aebd65c8f3f4,2024-04-23 00:40:00+00:00,Colorado Rockies,San Diego Padres,Colorado Rockies,150.0, 0.40%, 0.38%
cdd1a83d7c15ce5c3d79aebd65c8f3f4,2024-04-23 00:40:00+00:00,Colorado Rockies,San Diego Padres,San Diego Padres,-180.0, 0.64%, 0.62%
d6f47a21c9a0980edc331f403821b96a,2024-04-22 17:05:00+00:00,New York Yankees,Oakland Athletics,New York Yankees,600.0, 0.14%, 0.14%
d6f47a21c9a0980edc331f403821b96a,2024-04-22 17:05:00+00:00,New York Yankees,Oakland Athletics,Oakland Athletics,-1000.0, 0.91%, 0.86%
df6d58d2d972646454db7798a9eed23a,2024-04-23 01:45:00+00:00,San Francisco Giants,New York Mets,New York Mets,100.0, 0.50%, 0.48%
df6d58d2d972646454db7798a9eed23a,2024-04-23 01:45:00+00:00,San Francisco Giants,New York Mets,San Francisco Giants,-120.0, 0.55%, 0.52%
e1eafb8d9e5ab04c0a6e852a3ad72c3f,2024-04-22 23:45:00+00:00,St. Louis Cardinals,Arizona Diamondbacks,Arizona Diamondbacks,-105.0, 0.51%, 0.49%
e1eafb8d9e5ab04c0a6e852a3ad72c3f,2024-04-22 23:45:00+00:00,St. Louis Cardinals,Arizona Diamondbacks,St. Louis Cardinals,-115.0, 0.53%, 0.51%
e67813c1e1cee34d067e4bd168615313,2024-04-22 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,Milwaukee Brewers,120.0, 0.45%, 0.43%
e67813c1e1cee34d067e4bd168615313,2024-04-22 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,-145.0, 0.59%, 0.57%
f8d7d00bfbe5c13ca697bb696e880969,2024-04-22 23:40:00+00:00,Kansas City Royals,Toronto Blue Jays,Kansas City Royals,-105.0, 0.51%, 0.49%
f8d7d00bfbe5c13ca697bb696e880969,2024-04-22 23:40:00+00:00,Kansas City Royals,Toronto Blue Jays,Toronto Blue Jays,-115.0, 0.53%, 0.51%
