outcome_name,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,id,commence_time,home_team,away_team,odds,imp_probability,true_probability
St. Louis Cardinals,Gray (R),5,2-1,1.04,0.87,2-1,17.00,1.04,0.87,23,0,0-5,W2,U2,8dd791badcbc7164ee41bd454a1a1ae5,2024-04-28 17:40:00+00:00,New York Mets,St. Louis Cardinals,100, 0.50%, 0.48%
New York Mets,Houser (R),5,0-2,7.45,1.76,0-2,14.00,9.42,1.95,9,1,3-5,L1,U1,8dd791badcbc7164ee41bd454a1a1ae5,2024-04-28 17:40:00+00:00,New York Mets,St. Louis Cardinals,-120, 0.55%, 0.52%
Miami Marlins,Cabrera (R),5,1-0,3.27,1.45,1-0,11.00,3.27,1.45,17,0,1-6,L4,U4,a7dd725d6027c0243fdf478964e68755,2024-04-28 17:40:00+00:00,Miami Marlins,Washington Nationals,-145, 0.59%, 0.57%
Philadelphia Phillies,Suarez (L),4,4-0,1.36,0.70,3-0,22.00,0.00,0.68,21,0,4-3,W2,O1,cc2e43ae2f1eb0a88ada58db941f6bcc,2024-04-28 20:10:00+00:00,San Diego Padres,Philadelphia Phillies,110, 0.48%, 0.45%
Pittsburgh Pirates,Perez (L),5,1-1,3.45,1.43,0-1,17.00,4.08,1.36,15,0,2-5,L3,U1,bb10ffc230c7f4ce1c6ad6e72551b537,2024-04-28 20:05:00+00:00,San Francisco Giants,Pittsburgh Pirates,-105, 0.51%, 0.49%
Oakland Athletics,Sears (L),4,1-1,3.38,1.05,1-0,17.00,0.52,0.75,14,0,4-2,W2,U2,4b78269d847fc4fb3836ba51821ce900,2024-04-28 17:35:00+00:00,Baltimore Orioles,Oakland Athletics,150, 0.40%, 0.38%
Baltimore Orioles,Irvin (L),5,1-1,4.64,1.45,1-0,16.00,3.86,1.35,10,2,5-2,L1,U1,4b78269d847fc4fb3836ba51821ce900,2024-04-28 17:35:00+00:00,Baltimore Orioles,Oakland Athletics,-180, 0.64%, 0.62%
Detroit Tigers,Mize (R),5,1-0,2.95,1.22,1-0,17.00,2.12,1.12,12,1,1-1,L2,O2,f3dd915bb7c53b7b5fcda33481bb2474,2024-04-28 17:40:00+00:00,Detroit Tigers,Kansas City Royals,-155, 0.61%, 0.58%
Chicago White Sox,Cannon (R),4,0-1,7.27,1.62,0-1,8.00,7.27,1.62,8,0,2-2,W1,O4,1b2ec4ace33a165dc62ccc9a9d77a41f,2024-04-28 18:10:00+00:00,Chicago White Sox,Tampa Bay Rays,155, 0.39%, 0.37%
Minnesota Twins,Paddack (R),4,1-1,5.57,1.67,1-1,17.00,5.82,1.59,17,3,1-3,W5,U1,5762775262003c2e5fc263e22450ba44,2024-04-28 20:07:00+00:00,Los Angeles Angels,Minnesota Twins,-115, 0.53%, 0.51%
