,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,Unnamed: 0,ELO,outcome_name
0,Feltner (R),6,1-2,5.68,1.74,1-1,14.00,7.53,2.30,16,3,1-7,L2,U2,24,1473.626328946148,Colorado Rockies
1,,0,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,1-7,L7,O3,2,1496.853284963844,Miami Marlins
2,Assad (R),4,2-0,2.00,1.00,1-0,16.00,2.25,1.00,14,1,5-6,W1,U1,23,1519.939019419499,Chicago Cubs
3,Manaea (L),5,1-1,3.33,1.44,0-1,13.00,5.40,2.02,13,1,3-3,L1,U2,16,1504.1130369212694,New York Mets
4,Knack (R),5,1-1,3.27,1.00,1-1,11.00,3.27,1.00,9,2,4-1,L1,U2,20,1494.1072639244685,Los Angeles Dodgers
5,Martinez (R),4,0-1,5.48,1.39,0-1,16.00,7.31,1.69,12,2,2-4,L1,U1,27,1478.6538480356824,Cincinnati Reds
6,Cortes Jr. (L),4,1-2,3.50,1.00,0-1,18.00,3.50,0.94,19,4,5-3,L1,U1,4,1476.0082006855048,New York Yankees
7,Kremer (R),5,1-2,4.61,1.06,1-2,15.00,6.60,1.33,16,4,4-3,W1,U1,0,1504.7867046656845,Baltimore Orioles
8,Berrios (R),4,4-1,1.23,1.04,2-1,18.00,1.00,0.94,14,1,5-2,W1,U2,6,1507.4445237370664,Toronto Blue Jays
9,Woods-Richardson (R),4,1-0,2.45,1.00,1-0,11.00,2.45,1.00,11,0,3-3,W7,O2,18,1482.3849053060264,Minnesota Twins
10,Soroka (R),4,0-3,6.83,1.69,0-2,14.00,7.53,1.81,7,4,3-3,W3,U1,14,1481.4160149036777,Chicago White Sox
11,Carrasco (R),5,1-2,4.63,1.63,1-2,15.00,4.70,1.76,11,3,5-3,L1,U3,8,1499.7950830919476,Cleveland Guardians
12,Brown (R),8,0-4,9.68,2.49,0-3,10.00,11.81,2.44,9,2,2-6,W2,U7,5,1523.245945645783,Houston Astros
13,Matz (L),5,1-2,5.55,1.60,0-2,14.00,8.36,1.93,10,2,7-2,L1,U1,21,1520.8656990313525,St. Louis Cardinals
14,Maeda (R),5,0-1,5.96,1.37,0-0,13.00,3.95,1.24,12,3,2-1,W2,U1,10,1501.2098125042462,Detroit Tigers
15,Gibson (R),5,2-2,4.35,1.19,1-1,18.00,3.00,1.28,11,1,1-6,L1,U1,21,1520.8656990313525,St. Louis Cardinals
16,Flaherty (R),5,0-1,4.91,1.16,0-0,17.00,4.67,1.15,24,3,4-7,W2,U1,10,1501.2098125042462,Detroit Tigers
17,Criswell (R),5,1-1,2.38,1.15,1-0,9.00,2.00,1.00,7,1,2-5,W2,O4,3,1475.50967033781,Boston Red Sox
18,Peralta (R),4,2-0,3.18,0.99,1-0,16.00,3.24,1.26,23,2,2-5,L2,O4,17,1513.5698832206815,Milwaukee Brewers
19,Gray (R),5,0-1,2.92,1.46,0-1,15.00,1.72,1.15,23,1,7-4,W1,U1,7,1493.5524830200916,Texas Rangers
20,Turnbull (R),5,2-0,1.33,0.85,1-0,16.00,2.25,1.06,17,2,6-3,W4,O1,12,1495.0844221574373,Philadelphia Phillies
21,Anderson (L),5,2-3,1.78,1.05,0-3,16.00,3.31,1.29,13,4,3-6,L4,O2,1,1516.1421793764914,Los Angeles Angels
22,Lopez (R),5,2-0,0.72,0.88,2-0,19.00,0.47,0.84,19,1,3-1,W1,U6,13,1514.5375764777316,Atlanta Braves
23,Castillo (R),4,2-4,4.15,1.30,2-1,19.00,1.89,0.84,24,3,8-3,L1,U6,19,1501.0801353339757,Seattle Mariners
24,Keller (R),4,2-2,5.14,1.49,1-1,18.00,5.00,1.39,15,3,3-5,L1,U3,26,1472.0233313295778,Pittsburgh Pirates
25,Wood (L),4,1-2,6.59,1.98,1-1,15.00,5.40,2.00,13,3,1-6,W1,O1,9,1522.720144078062,Oakland Athletics
