Team,ELO
BOS,1547.213079609824
BAL,1413.0827810014434
DET,1484.9884275242614
NYY,1453.9830302451646
TOR,1462.6344990790815
TBR,1503.4277337901958
KCR,1389.6846762669368
PIT,1496.6851359081925
MIN,1538.9231037575773
HOU,1597.5679000088899
CLE,1497.1993953952929
MIL,1546.214198665107
TEX,1526.8007310510163
OAK,1446.1956989311177
CHW,1503.9767285549224
WSN,1404.9672751496903
LAA,1416.6210173470572
SEA,1535.556911635222
STL,1432.1129846637082
CHC,1538.1707996646867
CIN,1500.5061019356795
ATL,1498.7490591100632
COL,1562.754878214462
ARI,1611.151271104258
SDP,1510.204223153675
LAD,1469.9838837905647
SFG,1494.0134148409686
MIA,1550.2531417507425
PHI,1499.7488227925655
NYM,1566.6290950576329
