id,commence_time,home_team,away_team,outcome_name,odds,imp_probability,true_probability
25873031761f7c87c9a734612ee988ac,2024-04-23 22:45:00+00:00,Washington Nationals,Los Angeles Dodgers,Los Angeles Dodgers,-220, 0.69%, 0.65%
25873031761f7c87c9a734612ee988ac,2024-04-23 22:45:00+00:00,Washington Nationals,Los Angeles Dodgers,Washington Nationals,170, 0.37%, 0.35%
38a02d8367d69188f18189cb8303ce57,2024-04-24 01:38:00+00:00,Los Angeles Angels,Baltimore Orioles,Baltimore Orioles,-165, 0.62%, 0.59%
38a02d8367d69188f18189cb8303ce57,2024-04-24 01:38:00+00:00,Los Angeles Angels,Baltimore Orioles,Los Angeles Angels,135, 0.43%, 0.41%
480de76bfcfaa1db5719291f116e45d0,2024-04-23 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds,105, 0.49%, 0.47%
480de76bfcfaa1db5719291f116e45d0,2024-04-23 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,-125, 0.56%, 0.53%
4b3029c477478dd99081bc2ab9737066,2024-04-23 23:45:00+00:00,St. Louis Cardinals,Arizona Diamondbacks,Arizona Diamondbacks,115, 0.47%, 0.45%
4b3029c477478dd99081bc2ab9737066,2024-04-23 23:45:00+00:00,St. Louis Cardinals,Arizona Diamondbacks,St. Louis Cardinals,-135, 0.57%, 0.55%
4eaed644ac835163f72753073f8ab70e,2024-04-23 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,Milwaukee Brewers,-115, 0.53%, 0.51%
4eaed644ac835163f72753073f8ab70e,2024-04-23 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,-105, 0.51%, 0.49%
5d932c935739a56890ad05cdafada8bc,2024-04-23 23:20:00+00:00,Atlanta Braves,Miami Marlins,Atlanta Braves,-260, 0.72%, 0.68%
5d932c935739a56890ad05cdafada8bc,2024-04-23 23:20:00+00:00,Atlanta Braves,Miami Marlins,Miami Marlins,200, 0.33%, 0.32%
6175272ab9830fdb19e1b23da9797bfc,2024-04-23 22:50:00+00:00,Tampa Bay Rays,Detroit Tigers,Detroit Tigers,135, 0.43%, 0.41%
6175272ab9830fdb19e1b23da9797bfc,2024-04-23 22:50:00+00:00,Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,-165, 0.62%, 0.59%
767889554f282fa81403f03cfe058bf2,2024-04-23 23:40:00+00:00,Chicago Cubs,Houston Astros,Chicago Cubs,-105, 0.51%, 0.49%
767889554f282fa81403f03cfe058bf2,2024-04-23 23:40:00+00:00,Chicago Cubs,Houston Astros,Houston Astros,-115, 0.53%, 0.51%
8814be623a71f3eeb3648aa062f87fa2,2024-04-24 00:05:00+00:00,Texas Rangers,Seattle Mariners,Seattle Mariners,-110, 0.52%, 0.50%
8814be623a71f3eeb3648aa062f87fa2,2024-04-24 00:05:00+00:00,Texas Rangers,Seattle Mariners,Texas Rangers,-110, 0.52%, 0.50%
8ea7dd1d29b649f2e7e9f96f93561da0,2024-04-23 23:40:00+00:00,Minnesota Twins,Chicago White Sox,Chicago White Sox,225, 0.31%, 0.29%
8ea7dd1d29b649f2e7e9f96f93561da0,2024-04-23 23:40:00+00:00,Minnesota Twins,Chicago White Sox,Minnesota Twins,-300, 0.75%, 0.71%
a15c940b75fa8a25d1c96f7bfae8da81,2024-04-24 00:40:00+00:00,Colorado Rockies,San Diego Padres,Colorado Rockies,130, 0.43%, 0.42%
a15c940b75fa8a25d1c96f7bfae8da81,2024-04-24 00:40:00+00:00,Colorado Rockies,San Diego Padres,San Diego Padres,-155, 0.61%, 0.58%
bc28d151af7bb0869298af800a1f9a51,2024-04-23 22:10:00+00:00,Cleveland Guardians,Boston Red Sox,Boston Red Sox,-115, 0.53%, 0.51%
bc28d151af7bb0869298af800a1f9a51,2024-04-23 22:10:00+00:00,Cleveland Guardians,Boston Red Sox,Cleveland Guardians,-105, 0.51%, 0.49%
caf45d14a9f9bec90d709bfe54d60815,2024-04-24 01:45:00+00:00,San Francisco Giants,New York Mets,New York Mets,110, 0.48%, 0.45%
caf45d14a9f9bec90d709bfe54d60815,2024-04-24 01:45:00+00:00,San Francisco Giants,New York Mets,San Francisco Giants,-135, 0.57%, 0.55%
ededa8a14c0e7374baf42e294f1945b1,2024-04-23 23:40:00+00:00,Kansas City Royals,Toronto Blue Jays,Kansas City Royals,100, 0.50%, 0.48%
ededa8a14c0e7374baf42e294f1945b1,2024-04-23 23:40:00+00:00,Kansas City Royals,Toronto Blue Jays,Toronto Blue Jays,-120, 0.55%, 0.52%
f321366cb3519be3a919e556ad88059f,2024-04-23 23:05:00+00:00,New York Yankees,Oakland Athletics,New York Yankees,-220, 0.69%, 0.65%
f321366cb3519be3a919e556ad88059f,2024-04-23 23:05:00+00:00,New York Yankees,Oakland Athletics,Oakland Athletics,170, 0.37%, 0.35%
