outcome_name,Pitcher,Rest,Season WL,Season ERA,Season WHIP,Last 3 WL,Last 3 IP,Last 3 ERA,Last 3 WHIP,K,HR,Team WLCS,Streak WL,Streak O/U,id,commence_time,home_team,away_team,odds,imp_probability,true_probability
Milwaukee Brewers,Ross (R),6,1-1,4.91,1.64,1-1,14.00,4.91,1.64,14,0,4-1,W4,U1,4eaed644ac835163f72753073f8ab70e,2024-04-23 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,-115, 0.53%, 0.51%
Pittsburgh Pirates,Jones (R),5,1-2,3.13,0.78,0-2,17.00,2.60,0.75,22,4,1-1,L6,U2,4eaed644ac835163f72753073f8ab70e,2024-04-23 22:40:00+00:00,Pittsburgh Pirates,Milwaukee Brewers,-105, 0.51%, 0.49%
Philadelphia Phillies,Suarez (L),5,3-0,1.73,0.77,3-0,21.00,0.86,0.76,20,1,2-1,W6,O2,480de76bfcfaa1db5719291f116e45d0,2024-04-23 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,-125, 0.56%, 0.53%
Cincinnati Reds,Greene (R),5,0-1,4.35,1.31,0-1,16.00,4.50,1.12,23,2,3-3,W3,U1,480de76bfcfaa1db5719291f116e45d0,2024-04-23 22:40:00+00:00,Cincinnati Reds,Philadelphia Phillies,105, 0.49%, 0.47%
Miami Marlins,Weathers (L),5,2-1,2.70,1.35,2-0,16.00,1.69,1.12,17,2,1-3,W1,O1,5d932c935739a56890ad05cdafada8bc,2024-04-23 23:20:00+00:00,Atlanta Braves,Miami Marlins,200, 0.33%, 0.32%
Atlanta Braves,Elder (R),39,0-0,0.00,0.00,0-0,0.00,0.00,0.00,0,0,5-2,L1,O1,5d932c935739a56890ad05cdafada8bc,2024-04-23 23:20:00+00:00,Atlanta Braves,Miami Marlins,-260, 0.72%, 0.68%
Arizona Diamondbacks,Pfaadt (R),4,1-1,5.32,1.23,0-1,18.00,6.27,1.29,17,4,2-4,W1,O3,4b3029c477478dd99081bc2ab9737066,2024-04-23 23:45:00+00:00,St. Louis Cardinals,Arizona Diamondbacks,100, 0.50%, 0.48%
St. Louis Cardinals,Lynn (R),5,1-0,2.18,1.21,1-0,16.00,2.70,1.20,14,4,1-2,L4,U1,4b3029c477478dd99081bc2ab9737066,2024-04-23 23:45:00+00:00,St. Louis Cardinals,Arizona Diamondbacks,-120, 0.55%, 0.52%
San Diego Padres,Cease (R),5,2-1,1.99,0.93,2-0,18.00,1.50,0.94,21,1,4-1,W1,O1,a15c940b75fa8a25d1c96f7bfae8da81,2024-04-24 00:40:00+00:00,Colorado Rockies,San Diego Padres,-170, 0.63%, 0.60%
Colorado Rockies,Gomber (L),5,0-1,4.95,1.50,0-1,15.00,4.11,1.37,15,2,1-4,L1,O1,a15c940b75fa8a25d1c96f7bfae8da81,2024-04-24 00:40:00+00:00,Colorado Rockies,San Diego Padres,140, 0.42%, 0.40%
New York Mets,Quintana (L),5,1-1,3.05,1.50,1-0,16.00,2.81,1.44,12,1,3-1,L1,O4,caf45d14a9f9bec90d709bfe54d60815,2024-04-24 01:45:00+00:00,San Francisco Giants,New York Mets,110, 0.48%, 0.45%
San Francisco Giants,Winn (R),4,1-3,4.09,1.09,1-2,17.00,3.71,1.12,11,2,1-4,L1,O3,caf45d14a9f9bec90d709bfe54d60815,2024-04-24 01:45:00+00:00,San Francisco Giants,New York Mets,-135, 0.57%, 0.55%
Oakland Athletics,Sears (L),5,1-1,4.35,1.16,1-0,17.00,2.65,0.94,8,2,3-2,L3,O4,f321366cb3519be3a919e556ad88059f,2024-04-23 23:05:00+00:00,New York Yankees,Oakland Athletics,170, 0.37%, 0.35%
New York Yankees,Rodon (L),5,1-1,3.66,1.68,1-1,15.00,4.11,1.63,14,2,2-2,W1,O1,f321366cb3519be3a919e556ad88059f,2024-04-23 23:05:00+00:00,New York Yankees,Oakland Athletics,-220, 0.69%, 0.65%
